2  ,W BARRY AVE AND ROCKWELL ST,W BARRY AVE AND WASHTENAW AVE
3  ,16TH ST AND WOLCOTT AVE,16TH ST AND WOOD ST
4  ,W LEXINGTON ST AND CLINTON ST,W LEXINGTON ST AND JEFFERSON ST
5  ,S ROCKWELL ST AND MADISON ST,S ROCKWELL ST AND MONROE
6  ,W 47TH PL AND HALSTED ST,W 842 W 47TH PL 
7  ,W 49TH PL AND HALSTED ST,W 49TH PL AND PEORIA ST
8  ,W 51ST PL AND PRINCETON AVE,324 W 51ST PL 
9  ,W 56TH PL AND SHIELDS AVE,W 56TH PL AND STEWART AVE
10 ,S NORMAL AVE AND 54TH PL,S NORMAL AVE AND GARFIELD BLVD
11 ,S NORMAL AVE AND 54TH ST,S NORMAL AVE AND 54TH PL
12 ,5300 S NORMAL AVE,S NORMAL AVE AND 54TH ST
13 ,S SHIELDS AVE AND 48TH PL,S SHIELDS AVE AND 50TH ST
14 ,S SHIELDS AVE AND 50TH ST,S SHIELDS AVE AND 51ST ST
15 ,S STEWART AVE AND 43RD PL,S STEWART AVE AND 44TH PL
16 ,S STEWART AVE AND 44TH PL,S STEWART AVE AND 45TH ST
17 ,E 38TH ST AND LAKE PARK AVE,918 E 38TH ST
18 ,7600 S AVALON,7650 S AVALON
19 ,S KENWOOD AVE AND 68TH ST,S KENWOOD AVE AND 70TH ST
20 ,E 77TH ST AND WENTWORTH AVE,77TH ST AND PERRY AV
21 ,E 86TH ST AND CHAMPLAIN AVE,644 E 86TH ST 
22 ,E 86TH ST AND ST LAWRENCE AVE,86TH ST AND CHAMPLAIN S AVE
23 ,EBERHART AND 91ST ST S,EBERHART AND 92ND ST
24 ,S ST. LAWRENCE AND 83RD ST,S ST. LAWRENCE AND 84TH ST
25 ,E 82ND PL AND EXCHANGE AVE,82ND PL AND COMMERCIAL AVE
26 ,E 97TH ST AND VAN VLISSINGEN ROAD,1800 E 97TH ST 
27 ,S CONSTANCE AVE AND 95TH ST,S CONSTANCE AVE AND 96TH ST
28 ,S CRANDON AVE AND 100TH ST,S CRANDON AVE AND 101ST ST
29 ,S VAN VLISSINGEN ROAD AND 97TH ST,9654 S VAN VLISSINGEN ROAD 
30 ,E 74TH ST AND EAST END AVE,74TH ST AND RIDGELAND AVE
31 ,E 76TH PL AND GREENWOOD AV,1117 E 76TH PL 
32 ,E 80TH ST AND WOODLAWN AVE,1126 E 80TH ST 
33 ,E 89TH ST AND GREENWOOD AVE,89TH ST AND UNIVERSITY AVE
34 ,E 89TH ST AND UNIVERSITY AVE,89TH ST AND WOODLAWN AVE
35 ,900 E 91ST PL,91ST PL AND DREXEL AVE
36 ,E 91ST ST AND WOODLAWN AVE,91ST ST AND AVALON AVE
37 ,E 92ND PL AND KIMBARK AVE,1314 E 92ND PL 
38 ,E 92ND ST AND AVALON AVE,92ND ST AND KIMBARK AVE
39 ,1010 E 93RD PL,93RD PL AND GREENWOOD AVE
40 ,E 94TH ST AND AVALON AVE,94TH ST AND KIMBARK AVE
41 ,E 94TH ST AND EAST END AVE,94TH ST AND RIDGELAND AVE
42 ,E 94TH ST AND KIMBARK AVE,94TH ST AND KENWOOD AVE
43 ,E 94TH ST AND RIDGELAND AVE,94TH ST AND CREGIER AVE
44 ,E 94TH ST AND WOODLAWN AVE,94TH ST AND AVALON AVE
45 ,E 99TH ST AND COTTAGE GROVE AVE,99TH ST AND MARYLAND AVE
46 ,E 99TH ST AND DOBSON AVE,99TH ST AND GREENWOOD AVE
47 ,E 99TH ST AND DREXEL AVE,99TH ST AND INGLESIDE AVE
48 ,E 99TH ST AND ELLIS AVE,99TH ST AND DOBSON AVE
49 ,1100 E 99TH ST,1126 E 99TH ST 
50 ,E 99TH ST AND INGLESIDE AVE,99TH ST AND ELLIS AVE
51 ,E 99TH ST AND MARYLAND AVE,99TH ST AND DREXEL AVE
52 ,1132 E 99TH ST,1158 E 99TH ST 
53 ,1200 E 99TH ST,1244 E 99TH ST 
54 ,7700 S ANTHONY,7760 S ANTHONY
55 ,S AVALON AVE AND 91ST ST,S AVALON AVE AND 92ND ST
56 ,S BALDWIN AVE AND 74TH ST,S BALDWIN AVE AND 75TH ST
57 ,S CREGIER AVE AND 7438 S,S CREGIER AVE AND 75TH ST
58 ,S DOBSON AVE AND 7400 S,S DOBSON AVE AND 75TH ST
59 ,S DREXEL AVE AND 90TH ST,S DREXEL AVE AND 91ST ST
60 ,S DREXEL AVE AND 93RD ST,9340 S DREXEL AVE
61 ,S GREENWOOD AVE AND 87TH ST,S GREENWOOD AVE AND 89TH ST
62 ,E 114TH PL AND CALUMET AVE,114TH PL AND DR MARTIN LUTHER KING JR DR
63 ,E 114TH PL AND FOREST AVE,114TH PL AND CALUMET AVE
64 ,E 114TH PL AND PRAIRIE AVE,114TH PL AND FOREST AVE
65 ,W 121ST ST AND LA SALLE ST,W 121ST ST AND WENTWORTH AVE
66 ,W 121ST ST AND LAFAYETTE AVE,W 121ST ST AND PERRY AVE
67 ,W 121ST ST AND PERRY AVE,W 121ST ST AND LA SALLE ST
68 ,W 121ST ST AND STATE ST,W 121ST ST AND LAFAYETTE AVE
69 ,136 E 126TH PL,160 E 126TH PL 
70 ,E 134TH ST AND CORLISS AVE,134TH ST AND MARYLAND AVE
71 ,E 134TH ST AND EBERHART AVE,134TH ST AND ST LAWRENCE AVE
72 ,E 134TH ST AND EDBROOKE AVE,134TH ST AND INDIANA AVE
73 ,E 134TH ST AND EVANS AVE,134TH ST AND CORLISS AVE
74 ,E 134TH ST AND INDIANA AVE,134TH ST AND MLK DRIVE
75 ,E 134TH ST AND LANGLEY AVE,134TH ST AND EVANS AVE
76 ,E 134TH ST AND DR MARTIN LUTHER KING JR DR,134TH ST AND VERNON AVE
77 ,E 134TH ST AND ST. LAWRENCE AVE,134TH ST AND LANGLEY AVE
78 ,E 134TH ST AND VERNON AVE,134TH ST AND EBERHART AVE
79 ,E 135TH PL AND INDIANA AVE,135TH PL AND FOREST AVE
